id1,id2,dt,tm,ch,int,log,realf,reald,fct
1,49,2025-10-18,17:00:00,A,61,FALSE,73.27479778905399,0.748439186019823,Z
2,485,2033-04-13,19:00:00,A,73,TRUE,34.672427288256586,0.17515292251482606,Z
3,321,2029-04-23,07:00:00,NA,62,TRUE,29.60588631615974,0.6122556303162128,Z
4,153,2044-11-14,06:00:00,D,7,TRUE,24.737729992717505,0.9851710111834109,Z
5,74,2029-07-11,07:00:00,D,52,FALSE,79.83580089500174,0.3309799376875162,Z
6,228,2026-12-29,14:00:00,D,76,TRUE,71.1436094371602,0.15996214793995023,X
7,146,2041-01-29,21:00:00,D,76,FALSE,35.6964805519674,0.5266228311229497,NA
8,122,2041-12-22,15:00:00,A,81,TRUE,39.43968255049549,0.9895240117330104,X
9,49,2027-02-16,19:00:00,C,44,TRUE,61.900999650359154,0.8066827883012593,Z
10,128,2028-02-08,15:00:00,D,3,FALSE,36.920452457387,0.4743196826893836,Z
11,303,2026-09-12,12:00:00,A,46,FALSE,78.31744627188891,0.6122556303162128,Y
12,24,2043-04-04,00:00:00,C,92,FALSE,39.871587296016514,0.16109261335805058,X
13,327,2027-09-13,17:00:00,C,48,TRUE,14.79889070848003,0.8699797510635108,Z
14,356,2039-12-04,12:00:00,B,86,TRUE,77.43832492548972,0.5050642841961235,Y
15,89,2036-07-11,21:00:00,D,45,TRUE,14.211551391053945,0.012024645460769534,X
16,165,2034-07-06,22:00:00,A,5,FALSE,41.02139191655442,0.2438044568989426,X
17,110,2047-03-12,23:00:00,A,45,FALSE,33.32286378717981,0.44484180118888617,X
18,20,2046-05-13,10:00:00,D,6,TRUE,60.57566478010267,0.6321390932425857,Z
19,410,2031-02-17,00:00:00,NA,32,TRUE,65.45846851286478,0.05485484516248107,X
20,370,2042-11-30,17:00:00,B,18,TRUE,96.39012633892708,0.9661555725615472,Z
21,367,2047-10-31,08:00:00,NA,21,FALSE,66.45388010935858,0.4174700784496963,X
22,387,2037-11-27,13:00:00,A,15,TRUE,33.48516885004938,0.5961878271773458,Y
23,297,2038-04-22,16:00:00,A,42,FALSE,50.69814817630686,0.07161482889205217,X
24,89,2039-08-14,14:00:00,B,32,TRUE,83.79964079102501,0.8222687996458262,Z
25,283,2044-06-25,15:00:00,B,72,TRUE,21.17707501165569,0.2399938541930169,X
26,420,2046-04-09,06:00:00,D,75,FALSE,54.19918073131703,0.15450592176057398,X
27,485,2031-11-11,04:00:00,D,64,FALSE,97.1875239345245,0.5727016716264188,Z
28,479,2047-04-26,03:00:00,D,73,TRUE,34.81226005591452,0.9706373675726354,X
29,109,2035-12-07,23:00:00,NA,75,FALSE,67.9233442186378,0.966447870945558,Z
30,5,2037-11-18,10:00:00,B,98,TRUE,75.88205545698293,0.8192989786621183,Y
31,212,2043-08-17,13:00:00,A,9,TRUE,98.42566866800189,0.9044973712880164,X
32,418,2043-08-30,17:00:00,B,47,FALSE,16.249959440436214,0.2833599098958075,Y
33,348,2049-10-14,19:00:00,C,40,FALSE,42.14207046921365,0.21383194695226848,Z
34,360,2039-07-25,23:00:00,A,21,TRUE,56.75287140789442,0.48636904917657375,X
35,259,2031-07-17,16:00:00,C,67,TRUE,98.03151068557054,0.4309625148307532,Y
36,314,2026-09-18,18:00:00,B,46,FALSE,34.98818564019166,0.47163381963036954,Y
37,481,2033-08-26,19:00:00,D,33,FALSE,26.723476025974378,0.37068853504024446,Y
38,298,2047-12-10,15:00:00,C,62,FALSE,71.59746593446471,0.3709154848475009,Z
39,24,2042-01-29,05:00:00,D,82,TRUE,96.66441579908133,0.04139893292449415,Z
40,158,2038-09-12,06:00:00,D,97,TRUE,79.24563216138631,0.620179648976773,Z
41,299,2034-08-08,12:00:00,B,25,TRUE,43.69945545378141,0.7168028254527599,X
42,399,2048-12-13,06:00:00,B,45,TRUE,8.803692723158747,0.11398395569995046,Z
43,406,2032-05-28,23:00:00,B,64,TRUE,94.70230162609369,0.27817882713861763,Z
44,314,2049-06-30,23:00:00,A,NA,TRUE,3.9499766796361655,0.20942596369422972,X
45,136,2046-11-25,19:00:00,A,50,FALSE,31.17440686863847,0.22195870243012905,Y
46,292,2040-12-18,08:00:00,D,19,TRUE,51.91378972725943,0.7434294647537172,Y
47,324,2031-11-24,19:00:00,B,76,TRUE,25.102038199082017,0.8729033020790666,X
48,470,2044-11-20,21:00:00,A,48,FALSE,89.0857528266497,0.282031494891271,X
49,146,2038-08-19,13:00:00,A,53,FALSE,79.04381657764316,0.7757608585525304,X
50,109,2034-04-30,03:00:00,A,39,TRUE,5.924682665150613,0.3771203837823123,Z
51,348,2034-12-07,12:00:00,B,82,FALSE,48.71402831398882,0.17313858959823847,X
52,197,2030-05-11,05:00:00,C,49,FALSE,91.15739149902947,0.013118872418999672,Z
53,4,2046-04-02,03:00:00,D,33,TRUE,33.938864664174616,0.5115190902724862,X
54,226,2025-04-22,12:00:00,C,30,TRUE,90.98573852912523,0.12915474036708474,Z
55,434,2036-11-10,10:00:00,C,57,TRUE,41.92899009794928,0.25973898102529347,Y
56,355,2038-07-14,03:00:00,C,35,FALSE,57.4557171522174,0.25026538223028183,Y
57,472,2038-09-13,22:00:00,NA,6,TRUE,87.96667718724348,0.41773007344454527,Y
58,215,2049-03-17,06:00:00,B,71,FALSE,80.73973743151873,0.44811583822593093,Y
59,433,2042-07-14,00:00:00,D,49,TRUE,11.101553765358403,0.06462500942870975,Y
60,245,2040-07-12,04:00:00,A,73,FALSE,51.352216767845675,0.44046196481212974,Z
61,410,2035-07-25,17:00:00,D,44,TRUE,12.88319258368574,0.2601819271221757,X
62,114,2023-08-09,23:00:00,C,8,TRUE,77.76430197618902,0.8585704187862575,X
63,262,2034-06-22,20:00:00,A,14,TRUE,4.226915349252522,0.8263246077112854,Z
